gene_id	transcript_id	symbol	refseq_mane	ts_end	ts_start	chrom_ensembl	chrom_ucsc
ENSG00000179403	ENST00000476993	VWA1	NM_022834.5	1442882	1435690	1	chr1
ENSG00000215915	ENST00000378785	ATAD3C	NM_001039211.3	1470163	1449689	1	chr1
ENSG00000160072	ENST00000673477	ATAD3B	NM_031921.6	1497848	1471765	1	chr1
ENSG00000197785	ENST00000378756	ATAD3A	NM_001170535.3	1534685	1512162	1	chr1
ENSG00000205090	ENST00000378733	TMEM240	NM_001114748.2	1540624	1534778	1	chr1
ENSG00000160075	ENST00000291386	SSU72	NM_014188.3	1574863	1541673	1	chr1
ENSG00000228594	ENST00000422725	FNDC10	NM_001242659.2	1600135	1598012	1	chr1
ENSG00000197530	ENST00000355826	MIB2	NM_001170687.4	1630605	1615500	1	chr1
ENSG00000189409	ENST00000356026	MMP23B	NM_006983.2	1634654	1632173	1	chr1
ENSG00000248333	ENST00000341832	CDK11B	NM_033486.3	1659004	1635225	1	chr1
ENSG00000189339	ENST00000617444	SLC35E2B	NM_001290264.2	1692795	1661478	1	chr1
ENSG00000008128	ENST00000404249	CDK11A	NM_024011.4	1724357	1702379	1	chr1
ENSG00000008130	ENST00000341426	NADK	NM_023018.5	1778470	1751232	1	chr1
ENSG00000078369	ENST00000378609	GNB1	NM_002074.5	1891087	1785286	1	chr1
ENSG00000169885	ENST00000307786	CALML6	NM_138705.4	1917296	1915260	1	chr1
ENSG00000178821	ENST00000310991	TMEM52	NM_178545.4	1919279	1917591	1	chr1
ENSG00000142609	ENST00000682832	CFAP74	NM_001304360.2	2003786	1921957	1	chr1
ENSG00000187730	ENST00000378585	GABRD	NM_000815.5	2030758	2019345	1	chr1
ENSG00000067606	ENST00000378567	PRKCZ	NM_002744.6	2185395	2050411	1	chr1
ENSG00000162585	ENST00000378546	FAAP20	NM_182533.4	2194772	2189548	1	chr1
ENSG00000157933	ENST00000378536	SKI	NM_003036.4	2310213	2228319	1	chr1
ENSG00000116151	ENST00000378531	MORN1	NM_024848.3	2391554	2321253	1	chr1
ENSG00000157916	ENST00000605895	RER1	NM_007033.5	2405436	2391841	1	chr1
ENSG00000157911	ENST00000447513	PEX10	NM_002617.4	2412564	2403974	1	chr1
ENSG00000149527	ENST00000378486	PLCH2	NM_014638.4	2505532	2476289	1	chr1
ENSG00000157881	ENST00000378466	PANK4	NM_018216.4	2526596	2508537	1	chr1
ENSG00000197921	ENST00000378453	HES5	NM_001010926.4	2530263	2528745	1	chr1
ENSG00000157873	ENST00000355716	TNFRSF14	NM_003820.4	2563829	2556371	1	chr1
ENSG00000157870	ENST00000419916	PRXL2B	NM_152371.5	2591468	2586777	1	chr1
ENSG00000142606	ENST00000378412	MMEL1	NM_033467.4	2633016	2590639	1	chr1
ENSG00000169717	ENST00000378404	ACTRT2	NM_080431.5	3022903	3021467	1	chr1
ENSG00000142611	ENST00000270722	PRDM16	NM_022114.4	3438621	3069203	1	chr1
ENSG00000130762	ENST00000378378	ARHGEF16	NM_014448.4	3481113	3454665	1	chr1
ENSG00000162591	ENST00000356575	MEGF6	NM_001409.4	3611508	3487951	1	chr1
ENSG00000158109	ENST00000378344	TPRG1L	NM_182752.4	3630127	3625015	1	chr1
ENSG00000116213	ENST00000270708	WRAP73	NM_017818.4	3650103	3630770	1	chr1
ENSG00000078900	ENST00000378295	TP73	NM_005427.4	3736201	3652516	1	chr1
ENSG00000162592	ENST00000294600	CCDC27	NM_152492.3	3771645	3752450	1	chr1
ENSG00000235169	ENST00000642557	SMIM1	NM_001288583.2	3775956	3772749	1	chr1
ENSG00000130764	ENST00000378251	LRRC47	NM_020710.3	3796498	3778559	1	chr1
ENSG00000116198	ENST00000378230	CEP104	NM_014704.4	3857211	3812086	1	chr1
ENSG00000169598	ENST00000378209	DFFB	NM_004402.4	3885429	3857476	1	chr1
ENSG00000198912	ENST00000361605	C1orf174	NM_207356.3	3900272	3889133	1	chr1
ENSG00000196581	ENST00000378191	AJAP1	NM_018836.4	4792534	4654609	1	chr1
ENSG00000131697	ENST00000378156	NPHP4	NM_015102.5	5992425	5862811	1	chr1
ENSG00000069424	ENST00000378083	KCNAB2	NM_001199862.2	6101180	6045888	1	chr1
ENSG00000116254	ENST00000262450	CHD5	NM_015557.3	6180321	6101787	1	chr1
ENSG00000116251	ENST00000234875	RPL22	NM_000983.4	6199595	6185020	1	chr1
ENSG00000158286	ENST00000377939	RNF207	NM_207396.3	6221299	6206119	1	chr1
ENSG00000116237	ENST00000343813	ICMT	NM_012405.4	6235964	6221193	1	chr1
ENSG00000173673	ENST00000377898	HES3	NM_001024598.4	6245578	6244179	1	chr1
ENSG00000158292	ENST00000377893	GPR153	NM_207370.4	6261098	6247353	1	chr1
ENSG00000097021	ENST00000361521	ACOT7	NM_007274.4	6393767	6264272	1	chr1
ENSG00000069812	ENST00000377834	HES2	NM_019089.5	6419919	6415232	1	chr1
ENSG00000187017	ENST00000645284	ESPN	NM_031475.3	6460944	6424776	1	chr1
ENSG00000215788	ENST00000356876	TNFRSF25	NM_003790.3	6466173	6460786	1	chr1
ENSG00000171680	ENST00000377728	PLEKHG5	NM_020631.6	6491667	6467122	1	chr1
ENSG00000162408	ENST00000377705	NOL9	NM_024654.5	6554513	6521347	1	chr1
ENSG00000173662	ENST00000333172	TAS1R1	NM_138697.4	6579755	6555307	1	chr1
ENSG00000204859	ENST00000377674	ZBTB48	NM_005341.4	6589280	6579994	1	chr1
ENSG00000162413	ENST00000377658	KLHL21	NM_014851.4	6602869	6590724	1	chr1
ENSG00000116273	ENST00000377648	PHF13	NM_153812.3	6624030	6613731	1	chr1
ENSG00000041988	ENST00000054650	THAP3	NM_001195753.2	6633562	6624868	1	chr1
ENSG00000007923	ENST00000377577	DNAJC11	NM_018198.4	6701816	6634170	1	chr1
ENSG00000171735	ENST00000303635	CAMTA1	NM_015215.4	7769706	6785454	1	chr1
ENSG00000049245	ENST00000054666	VAMP3	NM_004781.4	7781432	7771296	1	chr1
ENSG00000049246	ENST00000377532	PER3	NM_001377275.1	7845177	7784291	1	chr1
ENSG00000049247	ENST00000361696	UTS2	NM_006786.4	7853065	7847612	1	chr1
ENSG00000049249	ENST00000377507	TNFRSF9	NM_001561.6	7940839	7915871	1	chr1
ENSG00000116288	ENST00000338639	PARK7	NM_007262.5	7985505	7961711	1	chr1
ENSG00000116285	ENST00000377482	ERRFI1	NM_018948.4	8026309	8011727	1	chr1
ENSG00000162426	ENST00000471889	SLC45A1	NM_001080397.3	8344165	8318114	1	chr1
ENSG00000142599	ENST00000400908	RERE	NM_001042681.2	8817640	8352404	1	chr1
ENSG00000074800	ENST00000234590	ENO1	NM_001428.5	8878686	8861000	1	chr1
ENSG00000131686	ENST00000377443	CA6	NM_001215.4	8975092	8945868	1	chr1
ENSG00000197241	ENST00000400906	SLC2A7	NM_207420.3	9026423	9002973	1	chr1
ENSG00000142583	ENST00000377424	SLC2A5	NM_003039.3	9069635	9035106	1	chr1
ENSG00000180758	ENST00000377411	GPR157	NM_024980.5	9129102	9100305	1	chr1
ENSG00000049239	ENST00000377403	H6PD	NM_004285.4	9271337	9234774	1	chr1
ENSG00000171621	ENST00000328089	SPSB1	NM_025106.4	9369532	9292894	1	chr1
ENSG00000171612	ENST00000302692	SLC25A33	NM_032315.3	9585173	9539465	1	chr1
ENSG00000188807	ENST00000340381	TMEM201	NM_001130924.3	9614877	9588911	1	chr1
ENSG00000171608	ENST00000377346	PIK3CD	NM_005026.5	9729114	9651731	1	chr1
ENSG00000171603	ENST00000377298	CLSTN1	NM_001009566.3	9823965	9728926	1	chr1
ENSG00000178585	ENST00000377263	CTNNBIP1	NM_020248.3	9910269	9848276	1	chr1
ENSG00000162441	ENST00000377223	LZIC	NM_032368.5	9943391	9926293	1	chr1
ENSG00000173614	ENST00000377205	NMNAT1	NM_022787.4	9985498	9943475	1	chr1
ENSG00000162444	ENST00000294435	RBP7	NM_052960.3	10016021	9997228	1	chr1
ENSG00000130939	ENST00000343090	UBE4B	NM_001105562.3	10181239	10032958	1	chr1
ENSG00000054523	ENST00000676179	KIF1B	NM_001365951.3	10381603	10210570	1	chr1
ENSG00000142657	ENST00000270776	PGD	NM_002631.4	10420511	10399064	1	chr1
ENSG00000175279	ENST00000309048	CENPS	NM_199294.3	10442808	10430433	1	chr1
ENSG00000241563	ENST00000377049	CORT	NM_001302.5	10451998	10450031	1	chr1
ENSG00000160049	ENST00000377038	DFFA	NM_004401.3	10472529	10456522	1	chr1
ENSG00000142655	ENST00000356607	PEX14	NM_004565.3	10630758	10474950	1	chr1
ENSG00000130940	ENST00000377022	CASZ1	NM_001079843.3	10796646	10636604	1	chr1
ENSG00000120948	ENST00000240185	TARDBP	NM_007375.4	11025492	11012654	1	chr1
ENSG00000009724	ENST00000400897	MASP2	NM_006610.4	11047239	11026523	1	chr1
ENSG00000116649	ENST00000376957	SRM	NM_003132.3	11060018	11054589	1	chr1
ENSG00000171824	ENST00000376936	EXOSC10	NM_001001998.3	11099869	11066618	1	chr1
ENSG00000198793	ENST00000361445	MTOR	NM_004958.4	11262551	11106535	1	chr1
ENSG00000171819	ENST00000376819	ANGPTL7	NM_021146.4	11195981	11189355	1	chr1
ENSG00000120942	ENST00000376810	UBIAD1	NM_013319.3	11288434	11273198	1	chr1
ENSG00000204624	ENST00000294484	DISP3	NM_020780.2	11537551	11479155	1	chr1
ENSG00000116661	ENST00000354287	FBXO2	NM_012168.6	11654429	11648387	1	chr1
ENSG00000132879	ENST00000251547	FBXO44	NM_033182.7	11663327	11654877	1	chr1
ENSG00000116663	ENST00000376753	FBXO6	NM_018438.6	11674354	11664200	1	chr1
ENSG00000116670	ENST00000376692	MAD2L2	NM_006341.4	11681148	11674480	1	chr1
ENSG00000162490	ENST00000294485	DRAXIN	NM_198545.4	11725857	11691710	1	chr1
ENSG00000177674	ENST00000314340	AGTRAP	NM_020350.5	11750769	11736136	1	chr1
ENSG00000215910	ENST00000688073	C1orf167	NM_001010881.2	11789585	11762193	1	chr1
ENSG00000177000	ENST00000376590	MTHFR	NM_005957.5	11805964	11785723	1	chr1
ENSG00000011021	ENST00000346436	CLCN6	NM_001286.5	11843130	11806191	1	chr1
ENSG00000175206	ENST00000376480	NPPA	NM_006172.4	11847783	11845709	1	chr1
ENSG00000120937	ENST00000376468	NPPB	NM_002521.3	11858945	11857464	1	chr1
ENSG00000116685	ENST00000376572	KIAA2013	NM_138346.3	11926427	11919591	1	chr1
ENSG00000083444	ENST00000196061	PLOD1	NM_000302.4	11975537	11934717	1	chr1
ENSG00000116688	ENST00000235329	MFN2	NM_014874.4	12013508	11980444	1	chr1
ENSG00000116691	ENST00000235332	MIIP	NM_021933.4	12032045	12019498	1	chr1
ENSG00000120949	ENST00000263932	TNFRSF8	NM_001243.5	12144207	12063303	1	chr1
ENSG00000028137	ENST00000376259	TNFRSF1B	NM_001066.3	12209220	12166991	1	chr1
ENSG00000048707	ENST00000620676	VPS13D	NM_015378.4	12512047	12230030	1	chr1
ENSG00000162496	ENST00000616661	DHRS3	NM_004753.7	12618210	12567910	1	chr1
ENSG00000204518	ENST00000376221	AADACL4	NM_001013630.2	12667076	12644085	1	chr1
ENSG00000188984	ENST00000359318	AADACL3	NM_001103170.3	12728760	12716110	1	chr1
ENSG00000157330	ENST00000614859	CFAP107	NM_152290.4	12763699	12746200	1	chr1
ENSG00000116726	ENST00000357726	PRAMEF12	NM_001080830.5	12777906	12773738	1	chr1
ENSG00000116721	ENST00000332296	PRAMEF1	NM_023013.4	12796628	12791397	1	chr1
ENSG00000239810	ENST00000619922	PRAMEF11	NM_001146344.3	12831410	12824605	1	chr1
ENSG00000179172	ENST00000317869	HNRNPCL1	NM_001013631.3	12848720	12847377	1	chr1
ENSG00000120952	ENST00000240189	PRAMEF2	NM_023014.1	12861909	12857086	1	chr1
ENSG00000243073	ENST00000235349	PRAMEF4	NM_001009611.4	12886201	12879212	1	chr1
ENSG00000187545	ENST00000235347	PRAMEF10	NM_001039361.4	12898270	12892896	1	chr1
ENSG00000232423	ENST00000376189	PRAMEF6	NM_001010889.2	12947580	12938472	1	chr1
ENSG00000274764	ENST00000436041	PRAMEF27	NM_001300891.2	13056575	13049476	1	chr1
ENSG00000277058	ENST00000617807	HNRNPCL3	NM_001382358.1	13062878	13060769	1	chr1
ENSG00000275774	ENST00000621994	HNRNPCL2	NM_001136561.3	13116854	13115488	1	chr1
ENSG00000280267	ENST00000624207	PRAMEF26	NM_001306072.3	13156009	13148907	1	chr1
ENSG00000179412	ENST00000323770	HNRNPCL4	NM_001302551.2	13165631	13163914	1	chr1
ENSG00000204505	ENST00000415919	PRAMEF9	NM_001010890.3	13179459	13171848	1	chr1
ENSG00000279169	ENST00000625019	PRAMEF13	NM_001291380.1	13201409	13196188	1	chr1
ENSG00000237700	ENST00000437300	PRAMEF33	NM_001291381.1	13308907	13303539	1	chr1
ENSG00000204501	ENST00000376152	PRAMEF15	NM_001098376.3	13322598	13315581	1	chr1
ENSG00000204481	ENST00000334600	PRAMEF14	NM_001024661.2	13347134	13341892	1	chr1
ENSG00000204479	ENST00000376098	PRAMEF17	NM_001099851.3	13392629	13389632	1	chr1
ENSG00000162494	ENST00000376085	LRRC38	NM_001010847.2	13514003	13474973	1	chr1
ENSG00000162493	ENST00000621990	PDPN	NM_006474.5	13617957	13583832	1	chr1
ENSG00000116731	ENST00000311066	PRDM2	NM_001393986.1	13825079	13700188	1	chr1
ENSG00000189337	ENST00000376030	KAZN	NM_201628.3	15118043	14598685	1	chr1
ENSG00000171729	ENST00000376008	TMEM51	NM_001136218.2	15220478	15153747	1	chr1
ENSG00000142621	ENST00000688493	FHAD1	NM_001391957.1	15398328	15247223	1	chr1
ENSG00000142634	ENST00000375980	EFHD2	NM_024329.6	15430339	15409888	1	chr1
ENSG00000162438	ENST00000375949	CTRC	NM_007272.3	15449242	15438443	1	chr1
ENSG00000142615	ENST00000359621	CELA2A	NM_033440.3	15472091	15456732	1	chr1
ENSG00000215704	ENST00000375910	CELA2B	NM_015849.3	15491395	15476104	1	chr1
ENSG00000132906	ENST00000333868	CASP9	NM_001229.5	15524215	15491401	1	chr1
ENSG00000116138	ENST00000375847	DNAJC16	NM_015291.4	15571733	15526848	1	chr1
ENSG00000116771	ENST00000375826	AGMAT	NM_024758.5	15585051	15571699	1	chr1
ENSG00000197312	ENST00000480945	DDI2	NM_032341.5	15669044	15617458	1	chr1
ENSG00000215695	ENST00000345034	RSC1A1	NM_006511.3	15662033	15659713	1	chr1
ENSG00000116786	ENST00000375799	PLEKHM2	NM_015164.4	15734769	15684320	1	chr1
ENSG00000162461	ENST00000294454	SLC25A34	NM_207348.3	15741392	15736258	1	chr1
ENSG00000162460	ENST00000375782	TMEM82	NM_001013641.3	15747982	15742499	1	chr1
ENSG00000162458	ENST00000375766	FBLIM1	NM_017556.4	15786589	15758795	1	chr1
ENSG00000065526	ENST00000375759	SPEN	NM_015001.3	15940456	15847707	1	chr1
ENSG00000116809	ENST00000375743	ZBTB17	NM_003443.3	15976101	15941869	1	chr1
ENSG00000183888	ENST00000329454	SRARP	NM_178840.4	16008807	16004236	1	chr1
ENSG00000173641	ENST00000311890	HSPB7	NM_014424.5	16018043	16014029	1	chr1
ENSG00000186510	ENST00000331433	CLCNKA	NM_004070.4	16034050	16022036	1	chr1
ENSG00000184908	ENST00000375679	CLCNKB	NM_000085.5	16057308	16043782	1	chr1
ENSG00000185519	ENST00000375662	FAM131C	NM_182623.3	16073651	16057769	1	chr1
ENSG00000142627	ENST00000358432	EPHA2	NM_004431.5	16156069	16124337	1	chr1
ENSG00000142632	ENST00000270747	ARHGEF19	NM_153213.5	16212652	16197854	1	chr1
ENSG00000132881	ENST00000375599	CPLANE2	NM_030907.4	16237183	16231692	1	chr1
ENSG00000037637	ENST00000375592	FBXO42	NM_018994.3	16352480	16246840	1	chr1
ENSG00000055070	ENST00000401088	SZRD1	NM_001114600.3	16398145	16367242	1	chr1
ENSG00000187144	ENST00000335496	SPATA21	NM_198546.1	16437424	16398643	1	chr1
ENSG00000157191	ENST00000337132	NECAP2	NM_018090.5	16460078	16440724	1	chr1
ENSG00000058453	ENST00000375541	CROCC	NM_014675.5	16972964	16921931	1	chr1
ENSG00000117122	ENST00000375535	MFAP2	NM_002403.4	16980620	16974502	1	chr1
ENSG00000159363	ENST00000326735	ATP13A2	NM_022089.4	17011928	16985958	1	chr1
ENSG00000117118	ENST00000375499	SDHB	NM_003000.3	17054032	17018722	1	chr1
ENSG00000117115	ENST00000375486	PADI2	NM_007365.3	17119451	17066761	1	chr1
ENSG00000142623	ENST00000375471	PADI1	NM_013358.3	17246007	17205128	1	chr1
ENSG00000142619	ENST00000375460	PADI3	NM_016233.2	17284233	17249098	1	chr1
ENSG00000159339	ENST00000375448	PADI4	NM_012387.3	17364004	17308197	1	chr1
ENSG00000276747	ENST00000619609	PADI6	NM_207421.4	17401699	17372196	1	chr1
ENSG00000179051	ENST00000375436	RCC2	NM_018715.4	17439677	17406760	1	chr1
ENSG00000074964	ENST00000361221	ARHGEF10L	NM_018125.4	17697869	17539698	1	chr1
ENSG00000117148	ENST00000375406	ACTL8	NM_030812.3	17827063	17755333	1	chr1
ENSG00000117154	ENST00000251296	IGSF21	NM_032880.5	18378483	18107798	1	chr1
ENSG00000179023	ENST00000400664	KLHDC7A	NM_152375.3	18485974	18480930	1	chr1
ENSG00000009709	ENST00000420770	PAX7	NM_001135254.2	18748866	18630846	1	chr1
ENSG00000159423	ENST00000375341	ALDH4A1	NM_003748.4	18902555	18871430	1	chr1
ENSG00000169991	ENST00000455833	IFFO2	NM_001136265.2	18956676	18904280	1	chr1
ENSG00000127481	ENST00000375254	UBR4	NM_020765.3	19210266	19074510	1	chr1
ENSG00000127463	ENST00000477853	EMC1	NM_015047.3	19251524	19215660	1	chr1
ENSG00000053372	ENST00000330263	MRTO4	NM_016183.4	19260128	19251805	1	chr1
ENSG00000162482	ENST00000361640	AKR7A3	NM_012067.3	19288770	19282573	1	chr1
ENSG00000053371	ENST00000235835	AKR7A2	NM_003689.4	19312144	19303965	1	chr1
ENSG00000040487	ENST00000375153	SLC66A1	NM_001040125.2	19329300	19312326	1	chr1
ENSG00000077549	ENST00000264202	CAPZB	NM_004930.5	19485539	19338775	1	chr1
ENSG00000173436	ENST00000322753	MICOS10	NM_001032363.4	19629820	19596979	1	chr1
ENSG00000158747	ENST00000375136	NBL1	NM_005380.8	19658452	19644311	1	chr1
ENSG00000158748	ENST00000289753	HTR6	NM_000871.3	19680966	19664875	1	chr1
ENSG00000162542	ENST00000294543	TMCO4	NM_181719.7	19799916	19682240	1	chr1
ENSG00000178828	ENST00000375121	RNF186	NM_019062.2	19815283	19814029	1	chr1
ENSG00000169914	ENST00000375120	OTUD3	NM_015207.2	19912945	19882395	1	chr1
ENSG00000188784	ENST00000375116	PLA2G2E	NM_014589.3	19923617	19920009	1	chr1
ENSG00000127472	ENST00000375108	PLA2G5	NM_000929.3	20091911	20070194	1	chr1
ENSG00000117215	ENST00000375105	PLA2G2D	NM_012400.4	20119536	20111939	1	chr1
ENSG00000158786	ENST00000375102	PLA2G2F	NM_022819.4	20150381	20139323	1	chr1
ENSG00000187980	ENST00000679259	PLA2G2C	NM_001367969.2	20186518	20163055	1	chr1
ENSG00000162543	ENST00000375099	UBXN10	NM_152376.5	20196050	20186096	1	chr1
ENSG00000158816	ENST00000289815	VWA5B1	NM_001039500.3	20359518	20290875	1	chr1
ENSG00000162545	ENST00000375078	CAMK2N1	NM_018584.6	20486210	20482391	1	chr1
ENSG00000090432	ENST00000264198	MUL1	NM_024544.3	20508151	20499448	1	chr1
ENSG00000183114	ENST00000332947	FAM43B	NM_207334.3	20555020	20552573	1	chr1
ENSG00000158825	ENST00000375071	CDA	NM_001785.3	20618903	20589097	1	chr1
ENSG00000158828	ENST00000321556	PINK1	NM_032409.3	20651511	20633458	1	chr1
ENSG00000244038	ENST00000602624	DDOST	NM_005216.5	20661369	20651777	1	chr1
ENSG00000117245	ENST00000400463	KIF17	NM_001122819.3	20718007	20664014	1	chr1
ENSG00000189410	ENST00000444387	SH2D5	NM_001103161.2	20732703	20719731	1	chr1
ENSG00000127483	ENST00000438032	HP1BP3	NM_001372052.1	20787307	20740266	1	chr1
ENSG00000075151	ENST00000602326	EIF4G3	NM_001391906.1	21176897	20806479	1	chr1
ENSG00000117298	ENST00000374893	ECE1	NM_001397.3	21290463	21217250	1	chr1
ENSG00000142794	ENST00000318249	NBPF3	NM_032264.6	21484900	21440137	1	chr1
ENSG00000162551	ENST00000374840	ALPL	NM_000478.6	21578410	21509423	1	chr1
ENSG00000076864	ENST00000374765	RAP1GAP	NM_002885.4	21669357	21596221	1	chr1
ENSG00000090686	ENST00000308271	USP48	NM_032236.8	21783149	21678298	1	chr1
ENSG00000187942	ENST00000344642	LDLRAD2	NM_001013693.3	21825225	21812265	1	chr1
ENSG00000142798	ENST00000374695	HSPG2	NM_005529.7	21937310	21822244	1	chr1
ENSG00000219073	ENST00000337107	CELA3B	NM_007352.4	21989354	21977022	1	chr1
ENSG00000142789	ENST00000290122	CELA3A	NM_005747.5	22012542	22001657	1	chr1
ENSG00000070831	ENST00000656825	CDC42	NM_001791.4	22101360	22052709	1	chr1
ENSG00000162552	ENST00000290167	WNT4	NM_030761.5	22143097	22117313	1	chr1
ENSG00000184677	ENST00000375647	ZBTB40	NM_014870.4	22531154	22451851	1	chr1
ENSG00000070886	ENST00000166244	EPHA8	NM_020526.5	22603595	22563489	1	chr1
ENSG00000173372	ENST00000374642	C1QA	NM_015991.4	22639678	22636628	1	chr1
ENSG00000159189	ENST00000374640	C1QC	NM_172369.5	22648108	22643633	1	chr1
ENSG00000173369	ENST00000509305	C1QB	NM_001378156.1	22661637	22653236	1	chr1
ENSG00000133216	ENST00000374630	EPHB2	NM_017449.5	22921500	22710839	1	chr1
ENSG00000227868	ENST00000566855	TEX46	NM_001242521.2	23015852	23010834	1	chr1
ENSG00000004487	ENST00000400181	KDM1A	NM_001009999.3	23083689	23019468	1	chr1
ENSG00000179546	ENST00000374619	HTR1D	NM_000864.5	23217502	23191895	1	chr1
ENSG00000125944	ENST00000302271	HNRNPR	NM_005826.5	23344284	23304688	1	chr1
ENSG00000125945	ENST00000314011	ZNF436	NM_001077195.2	23369836	23359448	1	chr1
ENSG00000204219	ENST00000450454	TCEA3	NM_003196.3	23424748	23380909	1	chr1
ENSG00000088280	ENST00000336689	ASAP3	NM_017707.4	23484179	23428563	1	chr1
ENSG00000007968	ENST00000361729	E2F2	NM_004091.4	23531233	23506438	1	chr1
ENSG00000117318	ENST00000374561	ID3	NM_002167.5	23559501	23557926	1	chr1
ENSG00000142676	ENST00000643754	RPL11	NM_000975.5	23696835	23691806	1	chr1
ENSG00000011007	ENST00000613537	ELOA	NM_003198.3	23762059	23743471	1	chr1
ENSG00000057757	ENST00000246151	PITHD1	NM_020362.5	23788232	23778418	1	chr1
ENSG00000011009	ENST00000374514	LYPLA2	NM_007260.3	23795539	23791145	1	chr1
ENSG00000117308	ENST00000617979	GALE	NM_001008216.2	23800754	23795599	1	chr1
ENSG00000117305	ENST00000374490	HMGCL	NM_000191.3	23825429	23801885	1	chr1
ENSG00000179163	ENST00000374479	FUCA1	NM_000147.5	23868290	23845077	1	chr1
ENSG00000188822	ENST00000374472	CNR2	NM_001841.3	23913362	23870515	1	chr1
ENSG00000189266	ENST00000334351	PNRC2	NM_017761.4	23963462	23959828	1	chr1
ENSG00000188529	ENST00000492112	SRSF10	NM_054016.4	23980327	23964347	1	chr1
ENSG00000142661	ENST00000374434	MYOM3	NM_152372.4	24112135	24056041	1	chr1
ENSG00000142677	ENST00000270800	IL22RA1	NM_021258.4	24143140	24119771	1	chr1
ENSG00000185436	ENST00000327535	IFNLR1	NM_170743.4	24187289	24154168	1	chr1
ENSG00000158055	ENST00000361548	GRHL3	NM_198173.3	24355318	24319357	1	chr1
ENSG00000001460	ENST00000337248	STPG1	NM_001199013.2	24413782	24356999	1	chr1
ENSG00000001461	ENST00000374399	NIPAL3	NM_020448.5	24472976	24415802	1	chr1
ENSG00000117602	ENST00000374395	RCAN3	NM_013441.4	24541040	24502836	1	chr1
ENSG00000184454	ENST00000374392	NCMAP	NM_001010980.5	24609328	24556087	1	chr1
ENSG00000133226	ENST00000323848	SRRM1	NM_005839.4	24673281	24643302	1	chr1
ENSG00000169504	ENST00000374379	CLIC4	NM_013943.3	24844321	24745447	1	chr1
ENSG00000020633	ENST00000308873	RUNX3	NM_004350.3	24930276	24899511	1	chr1
ENSG00000117614	ENST00000236273	SYF2	NM_015484.5	25232502	25222276	1	chr1
ENSG00000117616	ENST00000243189	RSRP1	NM_020317.5	25247454	25242249	1	chr1
